value,Units,Periods
0.0,GAS_2,Wed-00
165.0,GAS_3,Wed-00
158.0,GAS_4,Wed-00
400.0,COAL_1,Wed-01
386.0,COAL_2,Wed-01
80.0,DIESEL_1,Wed-01
87.0,DIESEL_2,Wed-01
0.0,DIESEL_3,Wed-01
0.0,DIESEL_4,Wed-01
0.0,GAS_1,Wed-01
0.0,GAS_2,Wed-01
165.0,GAS_3,Wed-01
158.0,GAS_4,Wed-01
400.0,COAL_1,Wed-02
364.0,COAL_2,Wed-02
90.0,DIESEL_1,Wed-02
87.0,DIESEL_2,Wed-02
0.0,DIESEL_3,Wed-02
0.0,DIESEL_4,Wed-02
0.0,GAS_1,Wed-02
0.0,GAS_2,Wed-02
165.0,GAS_3,Wed-02
158.0,GAS_4,Wed-02
400.0,COAL_1,Wed-03
354.0,COAL_2,Wed-03
90.0,DIESEL_1,Wed-03
87.0,DIESEL_2,Wed-03
0.0,DIESEL_3,Wed-03
0.0,DIESEL_4,Wed-03
0.0,GAS_1,Wed-03
0.0,GAS_2,Wed-03
165.0,GAS_3,Wed-03
158.0,GAS_4,Wed-03
400.0,COAL_1,Wed-04
356.0,COAL_2,Wed-04
90.0,DIESEL_1,Wed-04
87.0,DIESEL_2,Wed-04
0.0,DIESEL_3,Wed-04
0.0,DIESEL_4,Wed-04
0.0,GAS_1,Wed-04
0.0,GAS_2,Wed-04
165.0,GAS_3,Wed-04
158.0,GAS_4,Wed-04
400.0,COAL_1,Wed-05
385.0,COAL_2,Wed-05
90.0,DIESEL_1,Wed-05
87.0,DIESEL_2,Wed-05
0.0,DIESEL_3,Wed-05
0.0,DIESEL_4,Wed-05
0.0,GAS_1,Wed-05
0.0,GAS_2,Wed-05
165.0,GAS_3,Wed-05
158.0,GAS_4,Wed-05
400.0,COAL_1,Wed-06
427.0,COAL_2,Wed-06
90.0,DIESEL_1,Wed-06
87.0,DIESEL_2,Wed-06
0.0,DIESEL_3,Wed-06
0.0,DIESEL_4,Wed-06
0.0,GAS_1,Wed-06
0.0,GAS_2,Wed-06
165.0,GAS_3,Wed-06
158.0,GAS_4,Wed-06
400.0,COAL_1,Wed-07
460.0,COAL_2,Wed-07
90.0,DIESEL_1,Wed-07
87.0,DIESEL_2,Wed-07
0.0,DIESEL_3,Wed-07
0.0,DIESEL_4,Wed-07
0.0,GAS_1,Wed-07
0.0,GAS_2,Wed-07
165.0,GAS_3,Wed-07
158.0,GAS_4,Wed-07
400.0,COAL_1,Wed-08
494.0,COAL_2,Wed-08
90.0,DIESEL_1,Wed-08
87.0,DIESEL_2,Wed-08
0.0,DIESEL_3,Wed-08
0.0,DIESEL_4,Wed-08
0.0,GAS_1,Wed-08
0.0,GAS_2,Wed-08
165.0,GAS_3,Wed-08
158.0,GAS_4,Wed-08
400.0,COAL_1,Wed-09
517.0,COAL_2,Wed-09
90.0,DIESEL_1,Wed-09
87.0,DIESEL_2,Wed-09
0.0,DIESEL_3,Wed-09
0.0,DIESEL_4,Wed-09
0.0,GAS_1,Wed-09
0.0,GAS_2,Wed-09
165.0,GAS_3,Wed-09
158.0,GAS_4,Wed-09
400.0,COAL_1,Wed-10
536.0,COAL_2,Wed-10
90.0,DIESEL_1,Wed-10
87.0,DIESEL_2,Wed-10
0.0,DIESEL_3,Wed-10
0.0,DIESEL_4,Wed-10
0.0,GAS_1,Wed-10
0.0,GAS_2,Wed-10
165.0,GAS_3,Wed-10
158.0,GAS_4,Wed-10
400.0,COAL_1,Wed-11
541.0,COAL_2,Wed-11
90.0,DIESEL_1,Wed-11
87.0,DIESEL_2,Wed-11
0.0,DIESEL_3,Wed-11
0.0,DIESEL_4,Wed-11
0.0,GAS_1,Wed-11
0.0,GAS_2,Wed-11
165.0,GAS_3,Wed-11
158.0,GAS_4,Wed-11
400.0,COAL_1,Wed-12
533.0,COAL_2,Wed-12
90.0,DIESEL_1,Wed-12
87.0,DIESEL_2,Wed-12
0.0,DIESEL_3,Wed-12
0.0,DIESEL_4,Wed-12
0.0,GAS_1,Wed-12
0.0,GAS_2,Wed-12
165.0,GAS_3,Wed-12
158.0,GAS_4,Wed-12
400.0,COAL_1,Wed-13
535.0,COAL_2,Wed-13
90.0,DIESEL_1,Wed-13
87.0,DIESEL_2,Wed-13
0.0,DIESEL_3,Wed-13
0.0,DIESEL_4,Wed-13
0.0,GAS_1,Wed-13
0.0,GAS_2,Wed-13
165.0,GAS_3,Wed-13
158.0,GAS_4,Wed-13
400.0,COAL_1,Wed-14
533.0,COAL_2,Wed-14
90.0,DIESEL_1,Wed-14
87.0,DIESEL_2,Wed-14
0.0,DIESEL_3,Wed-14
0.0,DIESEL_4,Wed-14
0.0,GAS_1,Wed-14
0.0,GAS_2,Wed-14
165.0,GAS_3,Wed-14
158.0,GAS_4,Wed-14
400.0,COAL_1,Wed-15
523.0,COAL_2,Wed-15
90.0,DIESEL_1,Wed-15
87.0,DIESEL_2,Wed-15
0.0,DIESEL_3,Wed-15
0.0,DIESEL_4,Wed-15
0.0,GAS_1,Wed-15
0.0,GAS_2,Wed-15
165.0,GAS_3,Wed-15
158.0,GAS_4,Wed-15
400.0,COAL_1,Wed-16
508.0,COAL_2,Wed-16
90.0,DIESEL_1,Wed-16
87.0,DIESEL_2,Wed-16
0.0,DIESEL_3,Wed-16
0.0,DIESEL_4,Wed-16
0.0,GAS_1,Wed-16
0.0,GAS_2,Wed-16
165.0,GAS_3,Wed-16
158.0,GAS_4,Wed-16
400.0,COAL_1,Wed-17
488.0,COAL_2,Wed-17
90.0,DIESEL_1,Wed-17
87.0,DIESEL_2,Wed-17
0.0,DIESEL_3,Wed-17
0.0,DIESEL_4,Wed-17
0.0,GAS_1,Wed-17
0.0,GAS_2,Wed-17
165.0,GAS_3,Wed-17
158.0,GAS_4,Wed-17
400.0,COAL_1,Wed-18
465.0,COAL_2,Wed-18
90.0,DIESEL_1,Wed-18
87.0,DIESEL_2,Wed-18
0.0,DIESEL_3,Wed-18
0.0,DIESEL_4,Wed-18
0.0,GAS_1,Wed-18
0.0,GAS_2,Wed-18
165.0,GAS_3,Wed-18
158.0,GAS_4,Wed-18
400.0,COAL_1,Wed-19
455.0,COAL_2,Wed-19
90.0,DIESEL_1,Wed-19
87.0,DIESEL_2,Wed-19
0.0,DIESEL_3,Wed-19
0.0,DIESEL_4,Wed-19
0.0,GAS_1,Wed-19
0.0,GAS_2,Wed-19
165.0,GAS_3,Wed-19
158.0,GAS_4,Wed-19
400.0,COAL_1,Wed-20
463.0,COAL_2,Wed-20
90.0,DIESEL_1,Wed-20
87.0,DIESEL_2,Wed-20
0.0,DIESEL_3,Wed-20
0.0,DIESEL_4,Wed-20
0.0,GAS_1,Wed-20
