value,Units,Periods
385.0,COAL_2,Tue-04
0.0,DIESEL_1,Tue-04
87.0,DIESEL_2,Tue-04
20.0,DIESEL_3,Tue-04
12.0,DIESEL_4,Tue-04
220.0,GAS_1,Tue-04
210.0,GAS_2,Tue-04
165.0,GAS_3,Tue-04
158.0,GAS_4,Tue-04
179.666666667,COAL_1,Tue-05
233.333333333,COAL_2,Tue-05
0.0,DIESEL_1,Tue-05
87.0,DIESEL_2,Tue-05
20.0,DIESEL_3,Tue-05
12.0,DIESEL_4,Tue-05
220.0,GAS_1,Tue-05
210.0,GAS_2,Tue-05
165.0,GAS_3,Tue-05
158.0,GAS_4,Tue-05
222.666666667,COAL_1,Tue-06
233.333333333,COAL_2,Tue-06
0.0,DIESEL_1,Tue-06
87.0,DIESEL_2,Tue-06
20.0,DIESEL_3,Tue-06
12.0,DIESEL_4,Tue-06
220.0,GAS_1,Tue-06
210.0,GAS_2,Tue-06
165.0,GAS_3,Tue-06
158.0,GAS_4,Tue-06
255.666666667,COAL_1,Tue-07
233.333333333,COAL_2,Tue-07
0.0,DIESEL_1,Tue-07
87.0,DIESEL_2,Tue-07
20.0,DIESEL_3,Tue-07
12.0,DIESEL_4,Tue-07
220.0,GAS_1,Tue-07
210.0,GAS_2,Tue-07
165.0,GAS_3,Tue-07
158.0,GAS_4,Tue-07
288.666666667,COAL_1,Tue-08
233.333333333,COAL_2,Tue-08
0.0,DIESEL_1,Tue-08
87.0,DIESEL_2,Tue-08
20.0,DIESEL_3,Tue-08
12.0,DIESEL_4,Tue-08
220.0,GAS_1,Tue-08
210.0,GAS_2,Tue-08
165.0,GAS_3,Tue-08
158.0,GAS_4,Tue-08
311.666666667,COAL_1,Tue-09
233.333333333,COAL_2,Tue-09
0.0,DIESEL_1,Tue-09
87.0,DIESEL_2,Tue-09
20.0,DIESEL_3,Tue-09
12.0,DIESEL_4,Tue-09
220.0,GAS_1,Tue-09
210.0,GAS_2,Tue-09
165.0,GAS_3,Tue-09
158.0,GAS_4,Tue-09
330.666666667,COAL_1,Tue-10
233.333333333,COAL_2,Tue-10
0.0,DIESEL_1,Tue-10
87.0,DIESEL_2,Tue-10
20.0,DIESEL_3,Tue-10
12.0,DIESEL_4,Tue-10
220.0,GAS_1,Tue-10
210.0,GAS_2,Tue-10
165.0,GAS_3,Tue-10
158.0,GAS_4,Tue-10
334.666666667,COAL_1,Tue-11
233.333333333,COAL_2,Tue-11
0.0,DIESEL_1,Tue-11
87.0,DIESEL_2,Tue-11
20.0,DIESEL_3,Tue-11
12.0,DIESEL_4,Tue-11
220.0,GAS_1,Tue-11
210.0,GAS_2,Tue-11
165.0,GAS_3,Tue-11
158.0,GAS_4,Tue-11
326.666666667,COAL_1,Tue-12
233.333333333,COAL_2,Tue-12
0.0,DIESEL_1,Tue-12
87.0,DIESEL_2,Tue-12
20.0,DIESEL_3,Tue-12
12.0,DIESEL_4,Tue-12
220.0,GAS_1,Tue-12
210.0,GAS_2,Tue-12
165.0,GAS_3,Tue-12
158.0,GAS_4,Tue-12
328.666666667,COAL_1,Tue-13
233.333333333,COAL_2,Tue-13
0.0,DIESEL_1,Tue-13
87.0,DIESEL_2,Tue-13
20.0,DIESEL_3,Tue-13
12.0,DIESEL_4,Tue-13
220.0,GAS_1,Tue-13
210.0,GAS_2,Tue-13
165.0,GAS_3,Tue-13
158.0,GAS_4,Tue-13
326.666666667,COAL_1,Tue-14
233.333333333,COAL_2,Tue-14
0.0,DIESEL_1,Tue-14
87.0,DIESEL_2,Tue-14
20.0,DIESEL_3,Tue-14
12.0,DIESEL_4,Tue-14
220.0,GAS_1,Tue-14
210.0,GAS_2,Tue-14
165.0,GAS_3,Tue-14
158.0,GAS_4,Tue-14
316.666666667,COAL_1,Tue-15
233.333333333,COAL_2,Tue-15
0.0,DIESEL_1,Tue-15
87.0,DIESEL_2,Tue-15
20.0,DIESEL_3,Tue-15
12.0,DIESEL_4,Tue-15
220.0,GAS_1,Tue-15
210.0,GAS_2,Tue-15
