id,solutionStartTime,solutionEndTime
WORKORDER_AWRB867209001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB869011001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB869077001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB869082001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB869510001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB869541001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB852885001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRB859800001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRB864715001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRB866177001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRB867080001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRB869028001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRB871848001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRB874440001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:00:00.000
WORKORDER_AWRAV/0181_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 12:54:00.000
WORKORDER_AWRB859811001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRB867199001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRB868965001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRB869497001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRB869523001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 13:00:00.000
WORKORDER_AWRB851824001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 14:00:00.000
WORKORDER_AWRB852664001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 14:00:00.000
WORKORDER_AWRB853338001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 14:00:00.000
