value,Units,Periods
87.0,DIESEL_2,Tue-15
0.0,DIESEL_3,Tue-15
0.0,DIESEL_4,Tue-15
0.0,GAS_1,Tue-15
112.0,GAS_2,Tue-15
165.0,GAS_3,Tue-15
158.0,GAS_4,Tue-15
300.0,COAL_1,Tue-16
600.0,COAL_2,Tue-16
0.0,DIESEL_1,Tue-16
87.0,DIESEL_2,Tue-16
0.0,DIESEL_3,Tue-16
0.0,DIESEL_4,Tue-16
0.0,GAS_1,Tue-16
97.0,GAS_2,Tue-16
165.0,GAS_3,Tue-16
158.0,GAS_4,Tue-16
300.0,COAL_1,Tue-17
600.0,COAL_2,Tue-17
0.0,DIESEL_1,Tue-17
87.0,DIESEL_2,Tue-17
0.0,DIESEL_3,Tue-17
0.0,DIESEL_4,Tue-17
0.0,GAS_1,Tue-17
76.0,GAS_2,Tue-17
165.0,GAS_3,Tue-17
158.0,GAS_4,Tue-17
300.0,COAL_1,Tue-18
600.0,COAL_2,Tue-18
0.0,DIESEL_1,Tue-18
87.0,DIESEL_2,Tue-18
0.0,DIESEL_3,Tue-18
0.0,DIESEL_4,Tue-18
0.0,GAS_1,Tue-18
54.0,GAS_2,Tue-18
165.0,GAS_3,Tue-18
158.0,GAS_4,Tue-18
300.0,COAL_1,Tue-19
592.0,COAL_2,Tue-19
0.0,DIESEL_1,Tue-19
87.0,DIESEL_2,Tue-19
0.0,DIESEL_3,Tue-19
0.0,DIESEL_4,Tue-19
0.0,GAS_1,Tue-19
52.0,GAS_2,Tue-19
165.0,GAS_3,Tue-19
158.0,GAS_4,Tue-19
300.0,COAL_1,Tue-20
600.0,COAL_2,Tue-20
0.0,DIESEL_1,Tue-20
87.0,DIESEL_2,Tue-20
0.0,DIESEL_3,Tue-20
0.0,DIESEL_4,Tue-20
0.0,GAS_1,Tue-20
52.0,GAS_2,Tue-20
165.0,GAS_3,Tue-20
158.0,GAS_4,Tue-20
300.0,COAL_1,Tue-21
594.0,COAL_2,Tue-21
0.0,DIESEL_1,Tue-21
87.0,DIESEL_2,Tue-21
0.0,DIESEL_3,Tue-21
0.0,DIESEL_4,Tue-21
0.0,GAS_1,Tue-21
52.0,GAS_2,Tue-21
165.0,GAS_3,Tue-21
158.0,GAS_4,Tue-21
300.0,COAL_1,Tue-22
572.0,COAL_2,Tue-22
0.0,DIESEL_1,Tue-22
87.0,DIESEL_2,Tue-22
0.0,DIESEL_3,Tue-22
0.0,DIESEL_4,Tue-22
0.0,GAS_1,Tue-22
52.0,GAS_2,Tue-22
165.0,GAS_3,Tue-22
158.0,GAS_4,Tue-22
300.0,COAL_1,Tue-23
600.0,COAL_2,Tue-23
0.0,DIESEL_1,Tue-23
87.0,DIESEL_2,Tue-23
0.0,DIESEL_3,Tue-23
0.0,DIESEL_4,Tue-23
0.0,GAS_1,Tue-23
"-1.70530256582e-13",GAS_2,Tue-23
165.0,GAS_3,Tue-23
158.0,GAS_4,Tue-23
300.0,COAL_1,Wed-00
539.0,COAL_2,Wed-00
40.0,DIESEL_1,Wed-00
87.0,DIESEL_2,Wed-00
0.0,DIESEL_3,Wed-00
0.0,DIESEL_4,Wed-00
0.0,GAS_1,Wed-00
0.0,GAS_2,Wed-00
165.0,GAS_3,Wed-00
158.0,GAS_4,Wed-00
300.0,COAL_1,Wed-01
486.0,COAL_2,Wed-01
80.0,DIESEL_1,Wed-01
87.0,DIESEL_2,Wed-01
0.0,DIESEL_3,Wed-01
0.0,DIESEL_4,Wed-01
0.0,GAS_1,Wed-01
0.0,GAS_2,Wed-01
165.0,GAS_3,Wed-01
158.0,GAS_4,Wed-01
300.0,COAL_1,Wed-02
464.0,COAL_2,Wed-02
90.0,DIESEL_1,Wed-02
87.0,DIESEL_2,Wed-02
0.0,DIESEL_3,Wed-02
0.0,DIESEL_4,Wed-02
0.0,GAS_1,Wed-02
0.0,GAS_2,Wed-02
165.0,GAS_3,Wed-02
158.0,GAS_4,Wed-02
300.0,COAL_1,Wed-03
454.0,COAL_2,Wed-03
90.0,DIESEL_1,Wed-03
87.0,DIESEL_2,Wed-03
0.0,DIESEL_3,Wed-03
0.0,DIESEL_4,Wed-03
0.0,GAS_1,Wed-03
0.0,GAS_2,Wed-03
165.0,GAS_3,Wed-03
158.0,GAS_4,Wed-03
300.0,COAL_1,Wed-04
456.0,COAL_2,Wed-04
90.0,DIESEL_1,Wed-04
87.0,DIESEL_2,Wed-04
0.0,DIESEL_3,Wed-04
0.0,DIESEL_4,Wed-04
0.0,GAS_1,Wed-04
0.0,GAS_2,Wed-04
165.0,GAS_3,Wed-04
158.0,GAS_4,Wed-04
300.0,COAL_1,Wed-05
485.0,COAL_2,Wed-05
90.0,DIESEL_1,Wed-05
87.0,DIESEL_2,Wed-05
0.0,DIESEL_3,Wed-05
0.0,DIESEL_4,Wed-05
0.0,GAS_1,Wed-05
0.0,GAS_2,Wed-05
165.0,GAS_3,Wed-05
158.0,GAS_4,Wed-05
300.0,COAL_1,Wed-06
527.0,COAL_2,Wed-06
90.0,DIESEL_1,Wed-06
87.0,DIESEL_2,Wed-06
0.0,DIESEL_3,Wed-06
0.0,DIESEL_4,Wed-06
0.0,GAS_1,Wed-06
0.0,GAS_2,Wed-06
165.0,GAS_3,Wed-06
158.0,GAS_4,Wed-06
300.0,COAL_1,Wed-07
560.0,COAL_2,Wed-07
90.0,DIESEL_1,Wed-07
87.0,DIESEL_2,Wed-07
0.0,DIESEL_3,Wed-07
0.0,DIESEL_4,Wed-07
0.0,GAS_1,Wed-07
0.0,GAS_2,Wed-07
165.0,GAS_3,Wed-07
158.0,GAS_4,Wed-07
300.0,COAL_1,Wed-08
594.0,COAL_2,Wed-08
90.0,DIESEL_1,Wed-08
87.0,DIESEL_2,Wed-08
0.0,DIESEL_3,Wed-08
0.0,DIESEL_4,Wed-08
0.0,GAS_1,Wed-08
0.0,GAS_2,Wed-08
165.0,GAS_3,Wed-08
158.0,GAS_4,Wed-08
300.0,COAL_1,Wed-09
565.0,COAL_2,Wed-09
90.0,DIESEL_1,Wed-09
87.0,DIESEL_2,Wed-09
0.0,DIESEL_3,Wed-09
0.0,DIESEL_4,Wed-09
0.0,GAS_1,Wed-09
52.0,GAS_2,Wed-09
165.0,GAS_3,Wed-09
158.0,GAS_4,Wed-09
300.0,COAL_1,Wed-10
584.0,COAL_2,Wed-10
90.0,DIESEL_1,Wed-10
87.0,DIESEL_2,Wed-10
0.0,DIESEL_3,Wed-10
